2025-06-21 18:30:26,056 | __main__ | INFO | run_web_app.py:134 | PyNucleus web application starting
2025-06-21 18:30:26,096 | werkzeug | INFO | _internal.py:97 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://192.168.1.43:5001
2025-06-21 18:30:26,096 | werkzeug | INFO | _internal.py:97 | [33mPress CTRL+C to quit[0m
2025-06-21 18:30:34,339 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 18:30:34] "GET / HTTP/1.1" 200 -
2025-06-21 18:30:49,674 | pynucleus.api.app | INFO | app.py:340 | Processing question: what is modular plants?... (stream: False)
2025-06-21 18:30:49,772 | pynucleus | INFO | engine.py:30 | ChromaDB client initialized successfully
2025-06-21 18:30:50,031 | pynucleus | INFO | engine.py:66 | Retrieved 2 documents for query
2025-06-21 18:30:50,031 | pynucleus | INFO | model_loader.py:195 | Generating with HuggingFace model (max_tokens=50, stream=False)
2025-06-21 18:30:53,419 | pynucleus.api.app | INFO | app.py:427 | Question processed successfully in 3.75s
2025-06-21 18:30:53,419 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 18:30:53] "POST /ask HTTP/1.1" 200 -
2025-06-21 18:31:08,524 | pynucleus | INFO | engine.py:66 | Retrieved 1 documents for query
2025-06-21 18:31:08,696 | pynucleus | INFO | engine.py:66 | Retrieved 1000 documents for query
2025-06-21 18:31:08,697 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 18:31:08] "GET /status HTTP/1.1" 200 -
2025-06-21 18:31:29,950 | pynucleus | INFO | engine.py:66 | Retrieved 1 documents for query
2025-06-21 18:31:30,116 | pynucleus | INFO | engine.py:66 | Retrieved 1000 documents for query
2025-06-21 18:31:30,117 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 18:31:30] "GET /status HTTP/1.1" 200 -
2025-06-21 18:31:32,895 | pynucleus | INFO | engine.py:66 | Retrieved 1 documents for query
2025-06-21 18:31:32,993 | pynucleus | INFO | engine.py:66 | Retrieved 1000 documents for query
2025-06-21 18:31:32,994 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 18:31:32] "GET /system_statistics HTTP/1.1" 200 -
2025-06-21 18:31:34,775 | pynucleus | INFO | engine.py:66 | Retrieved 1 documents for query
2025-06-21 18:31:34,868 | pynucleus | INFO | engine.py:66 | Retrieved 1000 documents for query
2025-06-21 18:31:34,869 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 18:31:34] "GET /status HTTP/1.1" 200 -
2025-06-21 18:31:35,567 | pynucleus | INFO | engine.py:66 | Retrieved 1 documents for query
2025-06-21 18:31:35,720 | pynucleus | INFO | engine.py:66 | Retrieved 1000 documents for query
2025-06-21 18:31:35,720 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 18:31:35] "GET /status HTTP/1.1" 200 -
2025-06-21 18:31:36,515 | pynucleus | INFO | engine.py:66 | Retrieved 1 documents for query
2025-06-21 18:31:36,515 | pynucleus | INFO | engine.py:66 | Retrieved 1 documents for query
2025-06-21 18:31:36,673 | pynucleus | INFO | engine.py:66 | Retrieved 1000 documents for query
2025-06-21 18:31:36,674 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 18:31:36] "GET /status HTTP/1.1" 200 -
2025-06-21 18:31:36,700 | pynucleus | INFO | engine.py:66 | Retrieved 1000 documents for query
2025-06-21 18:31:36,701 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 18:31:36] "GET /status HTTP/1.1" 200 -
2025-06-21 18:31:37,109 | pynucleus | INFO | engine.py:66 | Retrieved 1 documents for query
